Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Xen., Eq. mag.",οὖν,2,0.17,9,0.21,1,0.28,0.20,0.93
"Xen., Eq. mag.",καί,59,5.09,229,5.38,22,6.09,5.33,0.99
"Xen., Eq. mag.",τε,7,0.60,41,0.96,2,0.55,0.59,0.61
"Xen., Eq. mag.",ἀλλά,3,0.26,10,0.23,1,0.28,0.26,1.12
"Xen., Eq. mag.",ἤ,5,0.43,28,0.66,1,0.28,0.39,0.60
"Xen., Eq. mag.",ἔτι,0,0.00,5,0.12,0,0.00,0.00,0.00
"Xen., Eq. mag.",τοίνυν,2,0.17,4,0.09,0,0.00,0.13,1.40
"Xen., Eq. mag.",καίτοι,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Eq. mag.",ὥστε,1,0.09,9,0.21,0,0.00,0.07,0.31
"Xen., Eq. mag.",ἔπειτα,0,0.00,5,0.12,0,0.00,0.00,0.00
"Xen., Eq. mag.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Eq. mag.",ἄρα,0,0.00,1,0.02,0,0.00,0.00,0.00
"Xen., Eq. mag.",δή,1,0.09,5,0.12,0,0.00,0.07,0.56
"Xen., Lac.",γάρ,5,1.26,49,1.20,4,0.90,1.07,0.89
"Xen., Lac.",μέν,10,2.52,79,1.93,8,1.80,2.14,1.10
"Xen., Lac.",δέ,11,2.77,161,3.94,21,4.72,3.80,0.96
"Xen., Lac.",οὖν,1,0.25,13,0.32,1,0.22,0.24,0.75
"Xen., Lac.",καί,24,6.05,228,5.58,23,5.17,5.58,1.00
"Xen., Lac.",τε,4,1.01,12,0.29,0,0.00,0.48,1.62
"Xen., Lac.",ἀλλά,2,0.50,17,0.42,2,0.45,0.48,1.14
"Xen., Lac.",ἤ,3,0.76,29,0.71,2,0.45,0.59,0.84
"Xen., Lac.",ἔτι,0,0.00,7,0.17,3,0.67,0.36,2.08
"Xen., Lac.",τοίνυν,0,0.00,6,0.15,0,0.00,0.00,0.00
"Xen., Lac.",καίτοι,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Lac.",ὥστε,0,0.00,11,0.27,1,0.22,0.12,0.44
"Xen., Lac.",ἔπειτα,1,0.25,1,0.02,0,0.00,0.12,4.85
"Xen., Lac.",χωρίς,0,0.00,1,0.02,0,0.00,0.00,0.00
"Xen., Lac.",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Lac.",δή,1,0.25,13,0.32,2,0.45,0.36,1.12
"Gorg., Helen",γάρ,3,0.95,15,1.65,0,0.00,0.80,0.48
"Gorg., Helen",μέν,11,3.49,19,2.09,1,1.64,3.19,1.53
"Gorg., Helen",δέ,22,6.98,37,4.06,1,1.64,6.12,1.51
"Gorg., Helen",οὖν,2,0.63,6,0.66,1,1.64,0.80,1.21
"Gorg., Helen",καί,19,6.03,70,7.68,1,1.64,5.32,0.69
"Gorg., Helen",τε,7,2.22,6,0.66,0,0.00,1.86,2.83
"Gorg., Helen",ἀλλά,0,0.00,5,0.55,0,0.00,0.00,0.00
